n,appname,appsize,actual,matches,P
0,Wireshark-W7x64,208542,0,16,0.00008
1,Wireshark-W7x32,171264,0,36,0.00021
2,Winzip17pro-W7x32,248414,0,38,0.00015
3,Winzip17pro-W7x64,271471,0,16,0.00006
4,sdelete-W7x32,629,629,634,1.00795
5,sdelete-W7x64,611,611,610,0.99836
6,OfficePro2003-WinXP,1210957,0,12,0.00001
7,OfficePro2003-W7x64,702693,150,23829,0.03391
8,OfficePro2003-W7x32,637903,150,24019,0.03765
9,Winrar5beta-W7x32,9373,0,20,0.00213
10,Firefox19-WinXP,91045,0,0,0.00000
11,Winrar5beta-W7x64,9395,0,20,0.00213
12,Firefox19-W7x32,91375,0,38,0.00042
13,HxD171-W7x32,4733,0,16,0.00338
14,Firefox19-W7x64,119632,0,23813,0.19905
15,Thunderbird2-WinXP,51760,0,23792,0.45966
16,Python264-WinXP,86707,0,1,0.00001
17,eraser-W7x32,5224,0,24,0.00459
18,Chrome28-W7x64,690662,0,23816,0.03448
19,Chrome28-WinXP,382784,0,26252,0.06858
20,Chrome28-W7x32,690375,0,23855,0.03455
21,Safari157-W7x32,308727,0,77,0.00025
22,Safari157-WinXP,304700,0,12,0.00004
23,Safari157-W7x64,392091,0,34,0.00009
24,TrueCrypt63-WinXP,15421,0,12,0.00078
25,AdvancedKeylogger-WinXP,3978,0,0,0.00000
26,InvisibleSecrets21-WinXP,3749,0,0,0.00000
27,UPX-W7x32,952,0,17,0.01786
28,UPX-W7x64,955,0,16,0.01675